userId,event,timestamp,vin,condition,year,make,model,price,mileage
553319867,show badge detail,2016-09-20 14:09:11.000000,JTEZU14R450045276,Used,2005,Toyota,4Runner,5900.0000,0
553319867,show badge detail,2016-09-20 14:09:10.000000,JTEZU14R450045276,Used,2005,Toyota,4Runner,5900.0000,0
553319867,visit badges,2016-09-20 14:09:32.000000,JTEZU14R450045276,Used,2005,Toyota,4Runner,5900.0000,0
553319867,visit badges,2016-09-20 14:09:56.000000,JTEZU14R450045276,Used,2005,Toyota,4Runner,5900.0000,0
553319867,show badge detail,2016-09-20 14:09:13.000000,JTEZU14R450045276,Used,2005,Toyota,4Runner,5900.0000,0
553319867,visit market report,2016-09-20 14:08:58.000000,JTEZU14R450045276,Used,2005,Toyota,4Runner,5900.0000,0
553319867,visit badges,2016-09-20 14:09:05.000000,JTEZU14R450045276,Used,2005,Toyota,4Runner,5900.0000,0
553319867,display alternatives,2016-09-20 14:08:58.000000,JTEZU14R450045276,Used,2005,Toyota,4Runner,5900.0000,0
553319867,visit badges,2016-09-20 14:09:57.000000,JTEZU14R450045276,Used,2005,Toyota,4Runner,5900.0000,0
553319867,visit badges,2016-09-20 14:09:13.000000,JTEZU14R450045276,Used,2005,Toyota,4Runner,5900.0000,0
553319867,show photo modal,2016-09-20 14:09:34.000000,JTEZU14R450045276,Used,2005,Toyota,4Runner,5900.0000,0
553319867,visit badges,2016-09-20 14:09:12.000000,JTEZU14R450045276,Used,2005,Toyota,4Runner,5900.0000,0
553320352,visit badges,2016-09-20 18:26:38.000000,1J4GL58K94W274416,Used,2004,Jeep,Liberty,8900.0000,97091
553320352,display alternatives,2016-09-20 18:26:08.000000,1J4GL58K94W274416,Used,2004,Jeep,Liberty,8900.0000,97091
553320352,visit market report,2016-09-20 18:26:08.000000,1J4GL58K94W274416,Used,2004,Jeep,Liberty,8900.0000,97091
553320352,visit badges,2016-09-20 18:26:35.000000,1J4GL58K94W274416,Used,2004,Jeep,Liberty,8900.0000,97091
553320352,visit badges,2016-09-20 18:26:12.000000,1J4GL58K94W274416,Used,2004,Jeep,Liberty,8900.0000,97091
553320352,visit badges,2016-09-20 18:26:34.000000,1J4GL58K94W274416,Used,2004,Jeep,Liberty,8900.0000,97091
548647583,visit market report,2016-09-20 17:29:46.000000,2G1FE1E31E9124451,Used,2014,Chevrolet,Camaro,0.0000,11839
553320467,visit market report,2016-09-20 15:32:52.000000,2G1FE1E31E9124451,Used,2014,Chevrolet,Camaro,0.0000,11839
553320467,visit market report,2016-09-20 15:32:52.000000,2G1FE1E31E9124451,Used,2014,Chevrolet,Camaro,0.0000,11839
553320225,visit market report,2016-09-20 03:51:19.000000,2G1FE1E31E9124451,Used,2014,Chevrolet,Camaro,0.0000,11839
548647583,visit market report,2016-09-20 17:29:46.000000,2G1FE1E31E9124451,Used,2014,Chevrolet,Camaro,0.0000,11839
544704289,visit market report,2016-09-20 14:24:08.000000,2C4RDGCG8DR550782,Used,2013,Dodge,Grand Caravan,0.0000,57980
544704289,display alternatives,2016-09-20 14:24:08.000000,2C4RDGCG8DR550782,Used,2013,Dodge,Grand Caravan,0.0000,57980
544704289,visit alternatives,2016-09-20 14:24:08.000000,2C4RDGCG8DR550782,Used,2013,Dodge,Grand Caravan,0.0000,57980
544704289,visit features,2016-09-20 14:24:08.000000,2C4RDGCG8DR550782,Used,2013,Dodge,Grand Caravan,0.0000,57980
544704289,display alternatives,2016-09-20 14:24:08.000000,2C4RDGCG8DR550782,Used,2013,Dodge,Grand Caravan,0.0000,57980
544704289,visit alternatives,2016-09-20 14:24:08.000000,2C4RDGCG8DR550782,Used,2013,Dodge,Grand Caravan,0.0000,57980
544704289,visit badges,2016-09-20 14:24:08.000000,2C4RDGCG8DR550782,Used,2013,Dodge,Grand Caravan,0.0000,57980
544704289,visit badges,2016-09-20 14:24:08.000000,2C4RDGCG8DR550782,Used,2013,Dodge,Grand Caravan,0.0000,57980
544704289,visit market report,2016-09-20 14:24:08.000000,2C4RDGCG8DR550782,Used,2013,Dodge,Grand Caravan,0.0000,57980
544704289,visit features,2016-09-20 14:24:08.000000,2C4RDGCG8DR550782,Used,2013,Dodge,Grand Caravan,0.0000,57980
553320488,visit market report,2016-09-20 16:25:12.000000,2G4WD582991221188,Used,2009,Buick,LaCrosse,10900.0000,78232
553320488,visit market report,2016-09-20 16:25:13.000000,2G4WD582991221188,Used,2009,Buick,LaCrosse,10900.0000,78232
553320488,display alternatives,2016-09-20 16:25:13.000000,2G4WD582991221188,Used,2009,Buick,LaCrosse,10900.0000,78232
553320488,display alternatives,2016-09-20 16:25:12.000000,2G4WD582991221188,Used,2009,Buick,LaCrosse,10900.0000,78232
553319711,visit badges,2016-09-20 09:53:29.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319711,click alternative,2016-09-20 09:55:26.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319711,visit alternatives,2016-09-20 09:54:58.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319711,visit market report,2016-09-20 09:53:23.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319711,visit features,2016-09-20 09:54:53.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319711,show badge detail,2016-09-20 09:53:38.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319711,visit badges,2016-09-20 09:54:55.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319711,show badge detail,2016-09-20 09:54:56.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319711,visit badges,2016-09-20 09:53:33.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319711,visit badges,2016-09-20 09:54:56.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319711,visit alternatives,2016-09-20 09:54:30.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319711,display alternatives,2016-09-20 09:53:23.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319711,visit features,2016-09-20 09:54:23.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319711,visit badges,2016-09-20 09:53:24.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319711,visit features,2016-09-20 09:54:57.000000,1GKFK638X8J223858,Used,2008,GMC,Yukon,18900.0000,148000
553319854,show badge detail,2016-09-20 13:52:36.000000,1G1YY36U775123520,Used,2007,Chevrolet,Corvette,34850.0000,15313
553319854,show badge detail,2016-09-20 13:52:35.000000,1G1YY36U775123520,Used,2007,Chevrolet,Corvette,34850.0000,15313
553319854,display alternatives,2016-09-20 13:51:57.000000,1G1YY36U775123520,Used,2007,Chevrolet,Corvette,34850.0000,15313
553319854,visit badges,2016-09-20 13:52:34.000000,1G1YY36U775123520,Used,2007,Chevrolet,Corvette,34850.0000,15313
